ky	kx	wcc_0	wcc_1
0.2	0.47500000000000003	-0.3139176423550424	0.3065432246458437
0.2	0.5	-0.3137856800402718	0.3072675276462677
0.2	0.525	-0.3136510503299041	0.3080403302267925
0.2	0.55	-0.3135168882188088	0.3088457903143219
0.2	0.5750000000000001	-0.313386395261958	0.30966438677363767
0.2	0.6000000000000001	-0.31326276168793993	0.3104731624756763
0.2	0.625	-0.31314908151648363	0.31124637312847614
0.2	0.65	-0.31304826306662714	0.3119565779045872
0.2	0.675	-0.31296293811321574	0.31257614761267366
0.2	0.7000000000000001	-0.3128953737810748	0.3130790901715792
0.2	0.7250000000000001	-0.3128473919174711	0.31344301551709963
0.2	0.75	-0.31282030097325497	0.31365100258451334
0.2	0.775	-0.3128148451751548	0.31369310977958753
0.2	0.8	-0.31283117488371065	0.3135673004391847
0.2	0.8250000000000001	-0.3128688405389248	0.3132796358030462
0.2	0.8500000000000001	-0.3129268106962224	0.31284370407815937
0.2	0.875	-0.31300351266748894	0.31227937789436766
0.2	0.9	-0.3130968925520406	0.311611093859593
0.2	0.925	-0.3132044902374683	0.3108659045159074
0.2	0.9500000000000001	-0.3133235243877244	0.3100715565209786
0.2	0.9750000000000001	-0.3134509824758903	0.3092548062680049
0.2	1.0	-0.31358371141334557	0.30844011294511353
0.225	0.0	-0.3213456557632652	0.3585454570052109
0.225	0.025	-0.32142558161786644	0.3571038572761502
0.225	0.05	-0.3215028570733914	0.35574557675247903
0.225	0.07500000000000001	-0.3215757737575818	0.35449551988980615
0.225	0.1	-0.3216427629064926	0.35337378290599997
0.225	0.125	-0.32170241871907423	0.3523960950519409
0.225	0.15000000000000002	-0.32175351680464226	0.3515743895910884
0.225	0.17500000000000002	-0.32179502839319385	0.350917418170737
0.225	0.2	-0.32182613095890217	0.350431339651325
0.225	0.225	-0.321846215852867	0.35012023207779513
0.225	0.25	-0.3218548934575166	0.34998649209390365
0.225	0.275	-0.3218519962645649	0.35003109881577094
0.225	0.30000000000000004	-0.3218375801448976	0.35025372909350366
0.225	0.325	-0.3218119239285918	0.35065271894980027
0.225	0.35000000000000003	-0.3217755272554513	0.35122487290594134
0.225	0.375	-0.32172910650119807	0.3519651301437317
0.225	0.4	-0.32167358844163507	0.352866105215824
0.225	0.42500000000000004	-0.3216101011944617	0.3539175322701592
0.225	0.45	-0.32153996188099543	0.3551056559619977
0.225	0.47500000000000003	-0.3214646603807067	0.35641262903338694
0.225	0.5	-0.32138583851354224	0.3578159944132225
0.225	0.525	-0.3213052639867658	0.3592883456469463
